City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Ponta Do Sol,PT,32.6667,-17.1,66.83,70,35,5.39,scattered clouds
105,Sitka,US,57.0531,-135.33,42.69,70,75,4.61,broken clouds
106,Svetlaya,RU,46.5389,138.3297,35.78,88,100,9.73,overcast clouds
107,Botlikh,RU,42.6444,46.2297,32.67,86,100,4.7,overcast clouds
108,Haines Junction,CA,60.7522,-137.5108,13.95,85,21,2.3,few clouds
109,Ulsteinvik,NO,62.3432,5.8487,46.53,82,100,25.99,light rain
110,Saint-Pierre,RE,-21.3393,55.4781,71.28,61,0,6.91,clear sky
111,Tatawin,TN,32.9297,10.4518,58.08,42,35,2.17,scattered clouds
112,Guerrero Negro,MX,27.9769,-114.0611,69.91,66,0,14.32,clear sky
113,Kapaa,US,22.0752,-159.319,82.38,69,1,1.99,clear sky
114,Meulaboh,ID,4.1363,96.1285,77.04,85,100,1.05,overcast clouds
115,Maridi,SS,4.9158,29.4742,67.8,92,100,1.03,light rain
116,Hay River,CA,60.8156,-115.7999,22.98,93,90,3.44,light snow
117,Monte Alegre,BR,-2.0078,-54.0692,74.37,93,52,3.8,broken clouds
118,Hasaki,JP,35.7333,140.8333,64.8,52,0,27.51,clear sky
119,East London,ZA,-33.0153,27.9116,62.56,83,33,10.85,scattered clouds
120,Skjervoy,NO,70.0311,20.9714,40.46,77,93,12.39,overcast clouds
121,Kavieng,PG,-2.5744,150.7967,85.73,67,100,12.08,overcast clouds
122,Kieta,PG,-6.2167,155.6333,83.95,74,66,3.94,light rain
123,Hartford,US,41.7668,-72.7662,53.42,48,1,1.99,clear sky
124,Aklavik,CA,68.2191,-135.0107,20.23,92,90,3.44,light snow
125,Roald,NO,62.5833,6.1333,46.54,66,20,19.57,light rain
126,Kifri,IQ,34.6959,44.9661,64.58,20,95,6.89,overcast clouds
127,Taltal,CL,-25.4,-70.4833,62.37,73,22,5.5,few clouds
128,Ribeira Grande,PT,38.5167,-28.7,61.54,84,100,10.63,overcast clouds
129,Olinda,BR,-8.0089,-34.8553,82.13,69,75,10.36,broken clouds
130,Scottsboro,US,34.6723,-86.0341,62.15,94,75,0.0,broken clouds
131,Chekalin,RU,54.0969,36.245,33.85,56,100,14.14,overcast clouds
132,Casablanca,MA,33.5928,-7.6192,60.33,93,0,4.0,clear sky
133,Porto Novo,BJ,6.4965,2.6036,82.22,85,67,5.77,broken clouds
134,Sobolevo,RU,54.4299,31.8996,31.37,61,99,13.22,overcast clouds
135,Inhambane,MZ,-23.865,35.3833,70.54,85,96,4.34,overcast clouds
136,Sisophon,KH,13.5859,102.9737,69.01,84,99,6.53,overcast clouds
137,Kyzyl-Suu,KG,42.3414,78.0056,31.24,60,12,7.92,few clouds
138,Bengkulu,ID,-3.8004,102.2655,74.01,76,100,2.91,overcast clouds
139,Puerto Ayora,EC,-0.7393,-90.3518,68.56,94,74,4.0,broken clouds
140,Mango,US,27.9797,-82.3065,71.46,93,40,4.61,scattered clouds
141,Harper,LR,4.375,-7.7169,78.06,87,98,5.7,overcast clouds
142,Faya,SA,18.3851,42.4509,51.91,54,0,3.85,clear sky
143,Namibe,AO,-15.1961,12.1522,69.85,74,66,5.1,broken clouds
144,Chuy,UY,-33.6971,-53.4616,59.59,71,15,11.01,few clouds
145,Hilo,US,19.7297,-155.09,82.13,71,20,11.5,few clouds
146,Bull Savanna,JM,17.8868,-77.5902,76.6,82,80,6.15,broken clouds
147,Khakhea,BW,-24.6895,23.494,71.91,13,0,7.85,clear sky
148,Castro,BR,-24.7911,-50.0119,57.63,95,91,9.6,overcast clouds
149,Tasiilaq,GL,65.6145,-37.6368,30.36,95,100,10.56,snow
150,Port Lincoln,AU,-34.7333,135.8667,57.04,64,100,23.38,light rain
151,Chimbote,PE,-9.0853,-78.5783,63.54,82,58,11.03,broken clouds
152,Klaksvik,FO,62.2266,-6.589,41.92,82,81,21.43,broken clouds
153,Muros,ES,42.7762,-9.0603,59.85,92,35,5.46,scattered clouds
154,Ngawen,ID,-7.0032,111.3129,78.58,84,100,7.56,overcast clouds
155,Doha,QA,25.2867,51.5333,75.18,46,0,4.61,clear sky
156,Manoel Urbano,BR,-8.8389,-69.2597,73.76,98,100,2.3,overcast clouds
157,Upernavik,GL,72.7868,-56.1549,19.33,68,100,17.4,overcast clouds
158,Ilulissat,GL,69.2167,-51.1,10.42,48,20,21.85,few clouds
159,Barcelos,PT,41.5388,-8.6151,56.91,82,98,2.95,overcast clouds
160,Raudeberg,NO,61.9875,5.1352,45.27,91,100,11.01,overcast clouds
161,Kahului,US,20.8947,-156.47,85.26,66,1,13.8,clear sky
162,Lovozero,RU,68.005,35.0117,27.03,94,87,4.74,overcast clouds
163,Plainview,US,40.7765,-73.4673,60.28,47,1,1.01,clear sky
164,Khatanga,RU,71.9667,102.5,-25.96,100,100,5.26,overcast clouds
165,Vilyuysk,RU,63.7553,121.6247,-4.27,97,78,4.83,broken clouds
166,Tual,ID,-5.6667,132.75,84.56,69,100,4.9,overcast clouds
167,Olafsvik,IS,64.8945,-23.7142,34.34,74,63,13.29,broken clouds
168,Aquiraz,BR,-3.9014,-38.3911,81.18,76,2,11.43,clear sky
169,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,75,5.75,broken clouds
170,Rodrigues Alves,BR,-7.738,-72.6509,73.9,94,100,2.8,overcast clouds
171,Bredasdorp,ZA,-34.5322,20.0403,61.29,88,61,2.3,broken clouds
172,Sampit,ID,-2.5333,112.95,75.78,97,100,2.35,overcast clouds
173,Saskylakh,RU,71.9167,114.0833,-19.53,100,76,4.41,broken clouds
174,Olkhovka,RU,53.2115,60.6069,23.72,63,100,13.58,overcast clouds
175,Lagoa,PT,39.05,-27.9833,65.79,75,100,15.48,overcast clouds
176,Talnakh,RU,69.4865,88.3972,-10.44,98,67,1.45,broken clouds
177,Alofi,NU,-19.0595,-169.9187,82.29,74,75,9.22,broken clouds
178,Nouakchott,MR,18.0858,-15.9785,76.93,43,100,15.52,overcast clouds
179,Mar Del Plata,AR,-38.0023,-57.5575,62.1,85,0,5.01,clear sky
180,Chokurdakh,RU,70.6333,147.9167,-4.27,92,91,8.66,overcast clouds
181,Innisfail,AU,-17.5333,146.0333,87.55,61,36,10.31,scattered clouds
182,Chapais,CA,49.7834,-74.8492,28.18,76,88,8.43,overcast clouds
183,Lebu,CL,-37.6167,-73.65,53.37,87,84,7.43,broken clouds
