City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
435,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
436,Fuerte Olimpo,PY,70.95,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
439,Port Blair,IN,80.64,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
440,Santa Lucia Cotzumalguapa,GT,80.92,few clouds,14.3333,-91.0167,Hotel y Restaurante Santiaguito
441,Mindelo,CV,74.75,scattered clouds,16.8901,-24.9804,Hotel Gaudi
446,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
447,Pekalongan,ID,84.02,overcast clouds,-6.8886,109.6753,Namira Syariah Hotel
455,Marihatag,PH,83.3,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
457,Ballina,AU,84.38,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
459,Dhidhdhoo,MV,82.15,overcast clouds,6.8833,73.1,Dhidhoo beach
460,Byron Bay,AU,84.31,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
462,Kapoeta,SS,81.57,broken clouds,4.7717,33.5903,Eastgate Hotel
463,Bandarbeyla,SO,76.01,overcast clouds,9.4942,50.8122,JABIR HOTEL
466,Hays,US,73.92,clear sky,30.0502,-98.0336,Sinya on Lone Man Creek
470,Kilindoni,TZ,80.02,overcast clouds,-7.9139,39.6668,Bustani B&B
475,Port Said,EG,72.45,overcast clouds,31.2565,32.2841,Aracan Hotel
481,China,MX,78.35,clear sky,25.7,-99.2333,González Reyes Artemio
482,Maragogi,BR,77.7,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
487,Noumea,NC,89.58,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
489,Bonoua,CI,80.22,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
491,Sur,OM,74.3,clear sky,22.5667,59.5289,Sur Plaza Hotel
492,Samarai,PG,84.88,broken clouds,-10.6167,150.6667,Nuli Sapi
493,Mecca,SA,76.32,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
494,Les Cayes,HT,76.82,few clouds,18.2,-73.75,Villa Orphee
497,Champerico,GT,84.74,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
498,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
499,Las Vegas,US,75.88,clear sky,36.175,-115.1372,Plaza Hotel & Casino
502,San Policarpo,PH,81.09,overcast clouds,12.1791,125.5072,Agapita M. Nicart
503,Lazaro Cardenas,MX,78.98,few clouds,17.9583,-102.2,quinta antigua
507,Umm Lajj,SA,77.18,broken clouds,25.0213,37.2685,Moon light Furnished Units
509,Savelugu,GH,79.68,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
510,Bikaner,IN,71.22,clear sky,28.0167,73.3,Karina Guest House
517,Jibuti,DJ,74.62,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
518,Mataram,ID,83.21,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
523,Cairns,AU,89.11,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
524,Santa Cruz,BO,81.86,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
526,San Patricio,US,77.68,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
530,Houston,US,75.4,broken clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
531,Navolato,MX,86.18,clear sky,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
536,Praia Da Vitoria,PT,70.05,broken clouds,38.7333,-27.0667,Hotel Branco I
537,Itarema,BR,79.54,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
542,Vaitape,PF,79.77,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
551,Oriximina,BR,75.45,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
555,Paddhari,IN,73.69,overcast clouds,22.4333,70.6,Rajarammohanrai Tea Stall
557,Bombay,IN,75.18,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar
559,Nsanje,MW,76.21,clear sky,-16.92,35.262,Nsanje Discovery Lodge
560,Ilesha,NG,72.37,overcast clouds,7.1371,5.2583,Tosap Guest House
562,Mani,CO,78.49,broken clouds,4.8172,-72.2886,Hotel Belgrado
565,Kavaratti,IN,81.82,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
570,Airai,TL,73.17,broken clouds,-8.9266,125.4092,Juvinal Martin
575,Acajutla,SV,86.34,clear sky,13.5928,-89.8275,asi es
577,Tirumullaivasal,IN,72.99,overcast clouds,11.2333,79.8333,Almupaark complex
