City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Namalenga,TZ,2021-11-07 18:18:48,-10.95,39.1,77.5,74,39,8.93
150,Santa Rosalia,MX,2021-11-07 18:18:48,27.3167,-112.2833,82.6,26,78,5.3
151,Bowen,AU,2021-11-07 18:18:48,-20.0167,148.2333,77.2,80,42,0.96
152,Hasaki,JP,2021-11-07 18:18:48,35.7333,140.8333,57.6,59,80,16.58
153,New Norfolk,AU,2021-11-07 18:18:49,-42.7826,147.0587,48.9,68,80,1.23
154,Butaritari,KI,2021-11-07 18:18:49,3.0707,172.7902,81.77,69,87,13.29
155,Komsomolskiy,UZ,2021-11-07 18:18:20,40.4272,71.7189,36.82,75,75,4.61
156,Yulara,AU,2021-11-07 18:17:54,-25.2406,130.9889,69.64,78,38,11.5
157,Mkuranga,TZ,2021-11-07 18:18:49,-7.118,39.2078,72.61,88,66,5.26
158,Tuatapere,NZ,2021-11-07 18:18:50,-46.1333,167.6833,47.82,86,46,4.18
159,Dikson,RU,2021-11-07 18:18:50,73.5069,80.5464,9.79,97,92,3.96
160,Longyearbyen,SJ,2021-11-07 18:18:50,78.2186,15.6401,15.64,57,75,12.66
161,Saldanha,ZA,2021-11-07 18:18:50,-33.0117,17.9442,60.8,71,100,21.39
162,Batemans Bay,AU,2021-11-07 18:18:51,-35.7167,150.1833,66.2,95,100,0.38
163,Kautokeino,NO,2021-11-07 18:18:51,69.0125,23.0412,6.44,88,44,3.33
164,Manitouwadge,CA,2021-11-07 18:18:51,49.1215,-85.8403,48.92,71,49,6.64
165,Johnstown,US,2021-11-07 18:17:29,40.3267,-78.922,58.32,35,1,8.05
166,Ahipara,NZ,2021-11-07 18:14:07,-35.1667,173.1667,57.96,93,12,2.64
167,Vallenar,CL,2021-11-07 18:18:51,-28.5708,-70.7581,84.7,17,5,12.21
168,Kaniama,CD,2021-11-07 18:18:52,-7.5667,24.1833,72.73,68,67,2.77
169,Srednekolymsk,RU,2021-11-07 18:18:52,67.45,153.6833,4.44,96,100,14.43
170,Ayr,GB,2021-11-07 18:18:52,55.4627,-4.6339,49.98,62,20,20.71
171,Nioro,GM,2021-11-07 18:18:52,13.35,-15.75,91.09,40,39,4.45
172,Portland,US,2021-11-07 18:17:13,45.5234,-122.6762,47.89,89,90,4.0
173,Kerema,PG,2021-11-07 18:18:53,-7.9631,145.7785,77.59,91,60,5.01
174,Penzance,GB,2021-11-07 18:18:53,50.1186,-5.5371,51.76,76,86,10.65
175,Mlowo,TZ,2021-11-07 18:18:54,-9.0,32.9833,68.88,42,90,4.12
176,Umtata,ZA,2021-11-07 18:18:54,-31.5889,28.7844,63.16,88,75,9.22
177,Mount Isa,AU,2021-11-07 18:18:55,-20.7333,139.5,74.97,94,40,2.3
178,Belinskiy,RU,2021-11-07 18:18:55,52.9647,43.4165,38.79,87,73,7.25
179,Basco,PH,2021-11-07 18:18:55,20.4487,121.9702,81.59,79,24,9.44
180,Pacific Grove,US,2021-11-07 18:18:56,36.6177,-121.9166,61.41,67,1,3.0
181,Saquarema,BR,2021-11-07 18:18:56,-22.92,-42.5103,77.14,70,61,10.4
182,Vakhrushevo,RU,2021-11-07 18:18:57,55.2317,61.7173,39.58,38,40,22.37
183,Manokwari,ID,2021-11-07 18:18:57,-0.8667,134.0833,79.88,72,71,2.93
184,Cabedelo,BR,2021-11-07 18:18:57,-6.9811,-34.8339,86.67,65,26,10.98
185,Kars,TR,2021-11-07 18:18:58,40.602,43.095,37.85,81,0,9.22
186,San Jose,US,2021-11-07 18:16:58,37.3394,-121.895,60.31,56,40,1.99
187,Bambous Virieux,MU,2021-11-07 18:19:58,-20.3428,57.7575,77.25,78,40,8.05
188,Ambagarh Chauki,IN,2021-11-07 18:19:58,20.7833,80.7167,62.69,59,85,3.67
189,Buala,SB,2021-11-07 18:19:59,-8.145,159.5921,79.21,83,60,7.27
190,Thinadhoo,MV,2021-11-07 18:19:59,0.5333,72.9333,83.07,70,54,15.93
